nbin_dir	run_name	data_path	N_steps	f_FNA	f_SNA	f_VSNA	f_LLP	T_FNA	T_SNA	T_VSNA	logL	nll	BIC	success	opt_time_sec
sim_traces_nbin_1500	run_Balanced_noise_0.5	d:\Vivian\DTMC_simulations\simulated_data\sim_traces_nbin_1500\run_Balanced_noise_0.5\duration_10000_ntraj_200\dwell_times_all.txt	20	0.602148	0.397851	5.37979e-07	5.37979e-07	4.79527	4.60895	9.96449	-682519.934300	682519.934300	1365128.181885	True	35.5134
sim_traces_nbin_1500	run_High_Unwinding_noise_0.7	d:\Vivian\DTMC_simulations\simulated_data\sim_traces_nbin_1500\run_High_Unwinding_noise_0.7\duration_10000_ntraj_200\dwell_times_all.txt	20	0.744554	0.255445	5.25082e-07	5.25082e-07	5.54032	4.34464	9.98417	-633274.746689	633274.746689	1266637.778947	True	36.1399
sim_traces_nbin_1500	run_Balanced_2_noise_0.5	d:\Vivian\DTMC_simulations\simulated_data\sim_traces_nbin_1500\run_Balanced_2_noise_0.5\duration_10000_ntraj_200\dwell_times_all.txt	20	0.515851	0.484147	6.52757e-07	6.52757e-07	4.37373	4.5908	9.95657	-708401.852036	708401.852036	1416892.048873	True	36.6440
sim_traces_nbin_1500	run_High_Unwinding_noise_0.2	d:\Vivian\DTMC_simulations\simulated_data\sim_traces_nbin_1500\run_High_Unwinding_noise_0.2\duration_10000_ntraj_200\dwell_times_all.txt	20	0.8294	0.170599	4.90348e-07	4.90348e-07	5.80658	5.15248	10.0015	-592862.394813	592862.394813	1185813.067776	True	36.8877
sim_traces_nbin_1500	run_Balanced_3_noise_0.5	d:\Vivian\DTMC_simulations\simulated_data\sim_traces_nbin_1500\run_Balanced_3_noise_0.5\duration_10000_ntraj_200\dwell_times_all.txt	20	0.566115	0.433884	5.36072e-07	5.36072e-07	4.5791	4.69068	9.96733	-692576.179571	692576.179571	1385240.680063	True	37.9777
sim_traces_nbin_1500	run_High_Unwinding_2_noise_0.5	d:\Vivian\DTMC_simulations\simulated_data\sim_traces_nbin_1500\run_High_Unwinding_2_noise_0.5\duration_10000_ntraj_200\dwell_times_all.txt	20	0.562274	0.437725	5.30155e-07	5.30155e-07	4.60298	4.59335	9.96873	-694850.269290	694850.269290	1389788.867199	True	37.7959
sim_traces_nbin_1500	run_Balanced_4_noise_0.5	d:\Vivian\DTMC_simulations\simulated_data\sim_traces_nbin_1500\run_Balanced_4_noise_0.5\duration_10000_ntraj_200\dwell_times_all.txt	20	0.559002	0.440997	5.52349e-07	5.52349e-07	4.55568	4.69035	9.95595	-691660.787628	691660.787628	1383409.881546	True	38.7025
sim_traces_nbin_1500	run_High_Unwinding_noise_0.3	d:\Vivian\DTMC_simulations\simulated_data\sim_traces_nbin_1500\run_High_Unwinding_noise_0.3\duration_10000_ntraj_200\dwell_times_all.txt	20	0.822977	0.177022	5.10346e-07	5.10346e-07	5.7783	5.06935	9.99905	-597587.454882	597587.454882	1195263.189105	True	39.1862
sim_traces_nbin_1500	run_Balanced_5_noise_0.5	d:\Vivian\DTMC_simulations\simulated_data\sim_traces_nbin_1500\run_Balanced_5_noise_0.5\duration_10000_ntraj_200\dwell_times_all.txt	20	0.383764	0.616234	6.36935e-07	6.36935e-07	3.99219	4.17949	9.93625	-737143.918090	737143.918090	1474376.224084	True	39.6904
sim_traces_nbin_1500	run_High_Unwinding_noise_0.8	d:\Vivian\DTMC_simulations\simulated_data\sim_traces_nbin_1500\run_High_Unwinding_noise_0.8\duration_10000_ntraj_200\dwell_times_all.txt	20	0.715907	0.284092	5.18226e-07	5.18226e-07	5.47216	4.13225	9.98525	-645150.444750	645150.444750	1290389.180336	True	39.3980
sim_traces_nbin_1500	run_High_Unwinding_5_noise_0.5	d:\Vivian\DTMC_simulations\simulated_data\sim_traces_nbin_1500\run_High_Unwinding_5_noise_0.5\duration_10000_ntraj_200\dwell_times_all.txt	20	0.75863	0.241369	5.46771e-07	5.46771e-07	5.52502	4.68706	9.99049	-626578.976123	626578.976123	1253246.236580	True	41.2004
sim_traces_nbin_1500	run_High_Unwinding_noise_0.5	d:\Vivian\DTMC_simulations\simulated_data\sim_traces_nbin_1500\run_High_Unwinding_noise_0.5\duration_10000_ntraj_200\dwell_times_all.txt	20	0.791778	0.208221	5.32664e-07	5.32664e-07	5.67881	4.69932	9.98943	-612068.300872	612068.300872	1224224.883838	True	42.0513
sim_traces_nbin_1500	run_High_Unwinding_3_noise_0.5	d:\Vivian\DTMC_simulations\simulated_data\sim_traces_nbin_1500\run_High_Unwinding_3_noise_0.5\duration_10000_ntraj_200\dwell_times_all.txt	20	0.764874	0.235125	5.55539e-07	5.55539e-07	5.5197	4.82133	9.98798	-622326.348295	622326.348295	1244740.978918	True	43.3802
sim_traces_nbin_1500	run_High_Unwinding_4_noise_0.5	d:\Vivian\DTMC_simulations\simulated_data\sim_traces_nbin_1500\run_High_Unwinding_4_noise_0.5\duration_10000_ntraj_200\dwell_times_all.txt	20	0.768722	0.231276	5.54513e-07	5.54513e-07	5.53339	4.82424	9.988	-620038.199377	620038.199377	1240164.683927	True	43.7439
sim_traces_nbin_1500	run_High_Unwinding_noise_0.1	d:\Vivian\DTMC_simulations\simulated_data\sim_traces_nbin_1500\run_High_Unwinding_noise_0.1\duration_10000_ntraj_200\dwell_times_all.txt	20	0.831988	0.168011	4.4905e-07	4.4905e-07	5.81671	5.2003	9.98147	-589871.362901	589871.362901	1179831.003322	True	45.4747
sim_traces_nbin_1500	run_Family_B_5_noise_0.5	d:\Vivian\DTMC_simulations\simulated_data\sim_traces_nbin_1500\run_Family_B_5_noise_0.5\duration_10000_ntraj_200\dwell_times_all.txt	20	0.383983	0.616016	3.11427e-07	3.11427e-07	3.27029	5.20395	9.80148	-767068.910577	767068.910577	1534226.288775	True	49.0495
sim_traces_nbin_1500	run_High_Unwinding_noise_0	d:\Vivian\DTMC_simulations\simulated_data\sim_traces_nbin_1500\run_High_Unwinding_noise_0\duration_10000_ntraj_200\dwell_times_all.txt	20	0.834321	0.165678	4.38681e-07	4.38681e-07	5.832	5.18674	9.98241	-588140.615871	588140.615871	1176369.508864	True	53.1410
sim_traces_nbin_1500	run_High_Unwinding_noise_1	d:\Vivian\DTMC_simulations\simulated_data\sim_traces_nbin_1500\run_High_Unwinding_noise_1\duration_10000_ntraj_200\dwell_times_all.txt	20	0.633326	0.366673	4.84468e-07	4.84468e-07	5.25307	3.78268	9.97825	-675239.268214	675239.268214	1350566.841184	True	34.5434
sim_traces_nbin_1500	run_Low_Unwinding_noise_0.5	d:\Vivian\DTMC_simulations\simulated_data\sim_traces_nbin_1500\run_Low_Unwinding_noise_0.5\duration_10000_ntraj_200\dwell_times_all.txt	20	0.0897022	0.910297	2.60419e-07	2.60419e-07	2.35297	4.44023	9.72654	-796902.009360	796902.009360	1593892.580376	True	33.8002
sim_traces_nbin_1500	run_Low_Unwinding_3_noise_0.5	d:\Vivian\DTMC_simulations\simulated_data\sim_traces_nbin_1500\run_Low_Unwinding_3_noise_0.5\duration_10000_ntraj_200\dwell_times_all.txt	20	0.0840063	0.915993	2.47936e-07	2.47936e-07	2.29166	4.4647	9.6993	-800233.067241	800233.067241	1600554.712079	True	35.7463
sim_traces_nbin_1500	run_Low_Unwinding_4_noise_0.5	d:\Vivian\DTMC_simulations\simulated_data\sim_traces_nbin_1500\run_Low_Unwinding_4_noise_0.5\duration_10000_ntraj_200\dwell_times_all.txt	20	0.076073	0.923926	2.52993e-07	2.52993e-07	2.23657	4.45227	9.71874	-805339.473853	805339.473853	1610767.561797	True	37.7050
sim_traces_nbin_1500	run_Low_Unwinding_2_noise_0.5	d:\Vivian\DTMC_simulations\simulated_data\sim_traces_nbin_1500\run_Low_Unwinding_2_noise_0.5\duration_10000_ntraj_200\dwell_times_all.txt	20	0.0745741	0.925425	3.89931e-07	3.89931e-07	2.57235	4.31335	9.8601	-769553.486126	769553.486126	1539195.350567	True	40.3891
sim_traces_nbin_1500	run_High_Pause_4_noise_0.5	d:\Vivian\DTMC_simulations\simulated_data\sim_traces_nbin_1500\run_High_Pause_4_noise_0.5\duration_10000_ntraj_200\dwell_times_all.txt	20	0.0314233	0.968576	1.29405e-07	1.29405e-07	0.717707	5.57524	8.12529	-892229.361766	892229.361766	1784547.595243	True	86.4426
sim_traces_nbin_1500	run_Low_Unwinding_5_noise_0.5	d:\Vivian\DTMC_simulations\simulated_data\sim_traces_nbin_1500\run_Low_Unwinding_5_noise_0.5\duration_10000_ntraj_200\dwell_times_all.txt	20	0.0661584	0.933841	2.97846e-07	2.97846e-07	2.36826	4.38844	9.82986	-785802.734461	785802.734461	1571693.953380	True	42.3333
