nbin_dir	run_name	data_path	N_steps	f_FNA	f_SNA	f_VSNA	f_LLP	T_FNA	T_SNA	T_VSNA	logL	nll	BIC	success	opt_time_sec
run_Balanced	duration_10000_ntraj_200	d:\Vivian\DTMC_simulations\simulated_data\sim_traces_nbin_2500\run_Balanced\duration_10000_ntraj_200\dwell_times_all.txt	20	0.534337	0.465662	3.71614e-07	3.71614e-07	2.53856	2.83492	9.96322	-955218.463218	955218.463218	1910529.027102	True	19.4301
run_Balanced_2	duration_10000_ntraj_200	d:\Vivian\DTMC_simulations\simulated_data\sim_traces_nbin_2500\run_Balanced_2\duration_10000_ntraj_200\dwell_times_all.txt	20	0.433043	0.566956	3.89122e-07	3.89122e-07	2.24286	2.73751	9.9374	-1008741.181364	1008741.181364	2017574.582369	True	15.4126
run_Balanced_2_noise_0.5	duration_10000_ntraj_200	d:\Vivian\DTMC_simulations\simulated_data\sim_traces_nbin_2500\run_Balanced_2_noise_0.5\duration_10000_ntraj_200\dwell_times_all.txt	20	0.435734	0.564266	3.90069e-07	3.90069e-07	2.24363	2.74758	9.93644	-1009576.071594	1009576.071594	2019244.365581	True	16.8157
run_Balanced_3	duration_10000_ntraj_200	d:\Vivian\DTMC_simulations\simulated_data\sim_traces_nbin_2500\run_Balanced_3\duration_10000_ntraj_200\dwell_times_all.txt	20	0.522753	0.477247	3.98683e-07	3.98683e-07	2.44186	2.92885	9.95905	-973046.554946	973046.554946	1946185.246028	True	19.3408
run_Balanced_3_noise_0.5	duration_10000_ntraj_200	d:\Vivian\DTMC_simulations\simulated_data\sim_traces_nbin_2500\run_Balanced_3_noise_0.5\duration_10000_ntraj_200\dwell_times_all.txt	20	0.521197	0.478802	3.87506e-07	3.87506e-07	2.43661	2.93102	9.95808	-973562.648395	973562.648395	1947217.431876	True	18.5586
run_Balanced_4	duration_10000_ntraj_200	d:\Vivian\DTMC_simulations\simulated_data\sim_traces_nbin_2500\run_Balanced_4\duration_10000_ntraj_200\dwell_times_all.txt	20	0.53369	0.466309	4.15611e-07	4.15611e-07	2.45711	3.02572	9.96203	-969588.165867	969588.165867	1939268.416712	True	19.9412
run_Balanced_4_noise_0.5	duration_10000_ntraj_200	d:\Vivian\DTMC_simulations\simulated_data\sim_traces_nbin_2500\run_Balanced_4_noise_0.5\duration_10000_ntraj_200\dwell_times_all.txt	20	0.535748	0.464251	4.23838e-07	4.23838e-07	2.46055	3.0393	9.95561	-968843.338197	968843.338197	1937778.754745	True	16.2698
run_Balanced_5	duration_10000_ntraj_200	d:\Vivian\DTMC_simulations\simulated_data\sim_traces_nbin_2500\run_Balanced_5\duration_10000_ntraj_200\dwell_times_all.txt	20	0.165207	0.834793	2.90593e-07	2.90593e-07	1.64182	2.51291	9.90192	-1081864.848762	1081864.848762	2163822.039327	True	16.3465
run_Balanced_5_noise_0.5	duration_10000_ntraj_200	d:\Vivian\DTMC_simulations\simulated_data\sim_traces_nbin_2500\run_Balanced_5_noise_0.5\duration_10000_ntraj_200\dwell_times_all.txt	20	0.16125	0.83875	2.90459e-07	2.90459e-07	1.63155	2.51726	9.90116	-1081768.810674	1081768.810674	2163629.956538	True	16.9061
run_Balanced_noise_0.5	duration_10000_ntraj_200	d:\Vivian\DTMC_simulations\simulated_data\sim_traces_nbin_2500\run_Balanced_noise_0.5\duration_10000_ntraj_200\dwell_times_all.txt	20	0.533395	0.466604	3.49883e-07	3.49883e-07	2.53682	2.84051	9.94525	-955811.499579	955811.499579	1911715.093698	True	16.9792
run_Family_A_2_noise_0.5	duration_10000_ntraj_200	d:\Vivian\DTMC_simulations\simulated_data\sim_traces_nbin_2500\run_Family_A_2_noise_0.5\duration_10000_ntraj_200\dwell_times_all.txt	20	0.527504	0.469949	7.23903e-10	0.00254634	0.339548	0.829439	10.844	-1287752.371409	1287752.371409	2575608.041567	True	231.4944
run_Family_A_3_noise_0.5	duration_10000_ntraj_200	d:\Vivian\DTMC_simulations\simulated_data\sim_traces_nbin_2500\run_Family_A_3_noise_0.5\duration_10000_ntraj_200\dwell_times_all.txt	20	0.514538	0.0887035	2.15648e-07	0.396758	0.327733	0.001	9.97975	-1936631.073918	1936631.073918	3873366.561791	True	139.9574
run_Family_A_4_noise_0.5	duration_10000_ntraj_200	d:\Vivian\DTMC_simulations\simulated_data\sim_traces_nbin_2500\run_Family_A_4_noise_0.5\duration_10000_ntraj_200\dwell_times_all.txt	20	0.422509	0.577268	0.000222642	4.3583e-08	0.311718	0.738659	10.0224	-1163983.408331	1163983.408331	2328070.493433	True	231.9061
run_Family_A_5_noise_0.5	duration_10000_ntraj_200	d:\Vivian\DTMC_simulations\simulated_data\sim_traces_nbin_2500\run_Family_A_5_noise_0.5\duration_10000_ntraj_200\dwell_times_all.txt	20	1.77729e-05	1.77729e-05	1.77729e-05	0.999947	0.001	4.99992	10	-39248981.532118	39248981.532118	78498083.883284	True	973.4222
run_Family_A_noise_0.5	duration_10000_ntraj_200	d:\Vivian\DTMC_simulations\simulated_data\sim_traces_nbin_2500\run_Family_A_noise_0.5\duration_10000_ntraj_200\dwell_times_all.txt	20	0.49163	0.0891	3.72565e-07	0.41927	0.365306	0.001	9.98136	-2041387.047302	2041387.047302	4082877.650686	True	104.2380
