nbin_dir	run_name	data_path	N_steps	f_FNA	f_SNA	f_VSNA	f_LLP	T_FNA	T_SNA	T_VSNA	logL	nll	BIC	success	opt_time_sec
dwell_time_all_fixed_window	run_Family_A_5_noise_0.5	d:\Vivian\DTMC_simulations\dwell_time_all_fixed_window\run_Family_A_5_noise_0.5\dwell_times_all.txt	20	0.154772	6.00748e-07	6.00748e-07	0.845227	2.13896	4.9785	10.0295	-57793.179389	57793.179389	115652.649918	True	9.2839
dwell_time_all_fixed_window	run_Family_D_5_noise_0.5	d:\Vivian\DTMC_simulations\dwell_time_all_fixed_window\run_Family_D_5_noise_0.5\dwell_times_all.txt	20	0.314089	0.345796	0.189255	0.15086	2.36273	9.55569	85.6315	-216442.093886	216442.093886	432960.861815	True	40.2359
dwell_time_all_fixed_window	run_Family_D_2_noise_0.5	d:\Vivian\DTMC_simulations\dwell_time_all_fixed_window\run_Family_D_2_noise_0.5\dwell_times_all.txt	20	0.341824	0.430975	0.215621	0.0115802	2.37062	7.91176	50.3316	-388944.866552	388944.866552	777971.267990	True	47.6958
dwell_time_all_fixed_window	run_Family_A_noise_0.5	d:\Vivian\DTMC_simulations\dwell_time_all_fixed_window\run_Family_A_noise_0.5\dwell_times_all.txt	20	0.355316	0.426716	0.207599	0.0103693	2.37121	8.32305	55.3744	-373982.977043	373982.977043	748047.200782	True	50.6481
dwell_time_all_fixed_window	run_Family_A_2_noise_0.5	d:\Vivian\DTMC_simulations\dwell_time_all_fixed_window\run_Family_A_2_noise_0.5\dwell_times_all.txt	20	0.340741	0.423635	0.225025	0.0105982	2.37346	7.97543	50.7448	-381192.711277	381192.711277	762466.761879	True	55.6174
dwell_time_all_fixed_window	run_Family_D_4_noise_0.5	d:\Vivian\DTMC_simulations\dwell_time_all_fixed_window\run_Family_D_4_noise_0.5\dwell_times_all.txt	20	0.343042	0.391561	0.209351	0.0560455	2.37701	8.73493	66.3356	-297445.373938	297445.373938	594970.060646	True	57.0157
dwell_time_all_fixed_window	run_Family_D_noise_0.5	d:\Vivian\DTMC_simulations\dwell_time_all_fixed_window\run_Family_D_noise_0.5\dwell_times_all.txt	20	0.345384	0.418393	0.218992	0.0172309	2.35976	7.85972	51.5483	-374769.378587	374769.378587	749620.007246	True	58.7865
dwell_time_all_fixed_window	run_Family_B_3_noise_0.5	d:\Vivian\DTMC_simulations\dwell_time_all_fixed_window\run_Family_B_3_noise_0.5\dwell_times_all.txt	20	0.391311	0.292148	0.316541	3.04992e-07	2.42899	8.23166	19.2551	-563414.833780	563414.833780	1126914.468792	True	62.9110
dwell_time_all_fixed_window	run_Family_D_3_noise_0.5	d:\Vivian\DTMC_simulations\dwell_time_all_fixed_window\run_Family_D_3_noise_0.5\dwell_times_all.txt	20	0.310732	0.438402	0.227466	0.0234001	2.34554	7.86269	56.3922	-347348.139137	347348.139137	694776.756202	True	65.6269
dwell_time_all_fixed_window	run_Family_A_3_noise_0.5	d:\Vivian\DTMC_simulations\dwell_time_all_fixed_window\run_Family_A_3_noise_0.5\dwell_times_all.txt	20	0.30981	0.246731	0.33718	0.106279	2.34433	4.90656	36.5876	-349355.958662	349355.958662	698792.401082	True	66.4454
dwell_time_all_fixed_window	run_Family_B_4_noise_0.5	d:\Vivian\DTMC_simulations\dwell_time_all_fixed_window\run_Family_B_4_noise_0.5\dwell_times_all.txt	20	0.413339	0.370221	0.215942	0.000498107	2.42211	8.9681	38.0761	-455276.590710	455276.590710	910636.241909	True	69.2947
dwell_time_all_fixed_window	run_Balanced_4	d:\Vivian\DTMC_simulations\dwell_time_all_fixed_window\run_Balanced_4\dwell_times_all.txt	20	0.55703	0.439581	0.00338821	3.91902e-07	2.40636	3.31817	9.98279	-974236.984570	974236.984570	1948566.002383	True	80.8037
